,developer,score0,img_link,date,pos,console,link,publisher,score1,score2,name,label
0,Irem Software Engineering,N/A,http://www.vgchartz.com//games/boxart/full_8531775AmericaFrontccc.jpg,31st Jul 99,16220,PS,http://www.vgchartz.com//games/game.php?id=12444&region=All,Irem Software Engineering,N/A,N/A,R-Type Delta-:-PS,0.03
1,NanaOn-Sha,N/A,http://www.vgchartz.com//games/boxart/89603ccc.jpg,31st Jul 99,3318,PS,http://www.vgchartz.com//games/game.php?id=4643&region=All,Sony Computer Entertainment,N/A,N/A,Um Jammer Lammy-:-PS,0.66
2,Unknown,N/A,http://www.vgchartz.com//games/boxart/full_6208870JapanFrontccc.jpg,01st Sep 16,16596,PSV,http://www.vgchartz.com//games/game.php?id=133961&region=All,Idea Factory,N/A,N/A,Bara ni Kakusareshi Verite-:-PSV,0.02
3,Traveller's Tales,N/A,http://www.vgchartz.com//games/boxart/full_lego-harry-potter-years-1-4_2AmericaFront.jpg,29th Jun 10,3104,PSP,http://www.vgchartz.com//games/game.php?id=42746&region=All,Warner Bros. Interactive,7.5,N/A,LEGO Harry Potter: Years 1-4-:-PSP,0.71
4,The Fun Pimps,N/A,http://www.vgchartz.com//games/boxart/full_8931458AmericaFrontccc.jpg,13th Dec 13,20639,PC,http://www.vgchartz.com//games/game.php?id=80943&region=All,The Fun Pimps,N/A,N/A,7 Days to Die-:-PC,4.18
5,Seta Corporation,N/A,http://www.vgchartz.com//games/boxart/full_99115JapanFrontccc.jpg,24th Nov 95,12997,SAT,http://www.vgchartz.com//games/game.php?id=4455&region=All,Seta Corporation,N/A,N/A,Super Real Mahjong Graffiti-:-SAT,0.07
6,Success,N/A,http://www.vgchartz.com//games/boxart/full_3859412JapanFrontccc.jpg,13th Nov 14,18714,3DS,http://www.vgchartz.com//games/game.php?id=84251&region=All,Success,N/A,N/A,Touch Detective Funghi Rhythm-:-3DS,0.01
7,n-Space,N/A,http://www.vgchartz.com//games/boxart/full_2735873PALFrontccc.jpg,17th Jul 12,7824,3DS,http://www.vgchartz.com//games/game.php?id=51495&region=All,Square Enix,6.6,N/A,Heroes of Ruin-:-3DS,0.21
8,Gogii Games,N/A,http://www.vgchartz.com//games/boxart/full_princess-isabella-a-witchs-curse_3AmericaFront.jpg,03rd Sep 10,12073,DS,http://www.vgchartz.com//games/game.php?id=47709&region=All,GSP,N/A,N/A,Princess Isabella: A Witch's Curse-:-DS,0.08
9,Tera Box,N/A,http://www.vgchartz.com//games/boxart/full_94008JapanFrontccc.jpg,02nd Apr 09,19423,Wii,http://www.vgchartz.com//games/game.php?id=32287&region=All,Tera Box,N/A,N/A,Doala de Wii-:-Wii,0.01
10,Playrix Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_fishdom_858AmericaFront.jpg,21st Jun 08,19627,PC,http://www.vgchartz.com//games/game.php?id=52907&region=All,Unknown,N/A,N/A,Fishdom-:-PC,0.01
11,Blitz Games,N/A,http://www.vgchartz.com//games/boxart/full_the-biggest-loser-challenge_3AmericaFront.jpg,04th Nov 10,3326,Wii,http://www.vgchartz.com//games/game.php?id=47261&region=All,THQ,N/A,N/A,The Biggest Loser: Challenge-:-Wii,0.65
12,Sony Computer Entertainment,N/A,http://www.vgchartz.com//games/boxart/3647504ccc.jpg,17th Oct 06,14767,PSP,http://www.vgchartz.com//games/game.php?id=2731&region=All,D3 Publisher,N/A,N/A,WTF: Work Time Fun-:-PSP,0.04
13,Ensemble Studios,N/A,http://www.vgchartz.com//games/boxart/full_1736497AmericaFrontccc.jpg,30th Sep 97,18764,PC,http://www.vgchartz.com//games/game.php?id=7422&region=All,Microsoft,N/A,N/A,Age of Empires-:-PC,0.01
14,Konami,N/A,http://www.vgchartz.com//games/boxart/full_7367167AmericaFrontccc.jpg,06th Jun 06,13209,PSP,http://www.vgchartz.com//games/game.php?id=881&region=All,Konami,N/A,N/A,Gradius Collection-:-PSP,0.06
15,Big Deez Productions,N/A,http://www.vgchartz.com//games/boxart/full_7593035AmericaFrontccc.jpg,05th Jun 18,16853,PS4,http://www.vgchartz.com//games/game.php?id=82010&region=All,Wired Productions,N/A,N/A,Shaq-Fu: A Legend Reborn-:-PS4,0.02
16,Q Entertainment,N/A,http://www.vgchartz.com//games/boxart/7064302ccc.jpg,07th Nov 06,10115,PSP,http://www.vgchartz.com//games/game.php?id=673&region=All,Buena Vista,N/A,N/A,Every Extend Extra-:-PSP,0.13
17,Arc System Works,N/A,http://www.vgchartz.com//games/boxart/full_8494587AmericaFrontccc.jpg,15th Jun 10,14442,DS,http://www.vgchartz.com//games/game.php?id=43513&region=All,Aksys Games,N/A,N/A,River City Soccer Hooligans-:-DS,0.05
18,Phoenix Interactive,N/A,http://www.vgchartz.com//games/boxart/full_1558005PALFrontccc.jpg,19th Jun 09,19576,PSP,http://www.vgchartz.com//games/game.php?id=35361&region=All,Ubisoft,N/A,N/A,Imagine: Champion Rider 2009-:-PSP,0.01
19,Jaleco,N/A,http://www.vgchartz.com//games/boxart/full_3367150JapanFrontccc.jpg,29th Sep 95,11425,SAT,http://www.vgchartz.com//games/game.php?id=3500&region=All,Jaleco,N/A,N/A,Idol Janshi Suchie-Pai Remix-:-SAT,0.1
20,Traveller's Tales,N/A,http://www.vgchartz.com//games/boxart/full_3585957AmericaFrontccc.jpg,12th Jun 15,2824,XOne,http://www.vgchartz.com//games/game.php?id=85091&region=All,Warner Bros. Interactive Entertainment,N/A,N/A,LEGO Jurassic World-:-XOne,0.78
21,Max Design,N/A,http://www.vgchartz.com//games/boxart/full_9403126AmericaFrontccc.jpg,01st Feb 00,20429,PC,http://www.vgchartz.com//games/game.php?id=7431&region=All,Sunflowers,N/A,N/A,1602 A.D.-:-PC,2.7
22,Unknown,N/A,http://www.vgchartz.com//games/boxart/full_3397262JapanFrontccc.jpg,29th Sep 16,16798,PSV,http://www.vgchartz.com//games/game.php?id=139003&region=All,Entergram,N/A,N/A,Kimi o Aogi Otome wa Hime ni-:-PSV,0.02
23,Rising Star Games,N/A,http://www.vgchartz.com//games/boxart/full_angel-cat-sugar_467PALFront.jpg,16th Oct 09,20158,PC,http://www.vgchartz.com//games/game.php?id=40276&region=All,Rising Star,N/A,N/A,Angel Cat Sugar-:-PC,0.01
24,Behaviour Interactive,N/A,http://www.vgchartz.com//games/boxart/full_alvin-and-the-chipmunks-chipwrecked_568AmericaFront.jpg,15th Nov 11,11117,DS,http://www.vgchartz.com//games/game.php?id=52956&region=All,Majesco,N/A,N/A,Alvin and the Chipmunks: Chipwrecked-:-DS,0.11
